date,neighborhood,title,link,prices,attributes
2019-11-05 04:59, belmont,furnished room,https://sfbay.craigslist.org/pen/roo/d/belmont-furnished-room/7012584377.html,1200,"'furnished', 'house', 'laundry on site', 'no smoking', 'no private bath', 'private room'"
2019-11-05 04:46, mill valley,5 day a week Commuter room for Rent available November 1st,https://sfbay.craigslist.org/nby/roo/d/mill-valley-5-day-week-commuter-room/7003440666.html,750,"'furnished', 'duplex', 'w/d in unit', 'no smoking', 'off-street parking', 'no private bath', 'private room'"
2019-11-05 04:46, ingleside / SFSU / CCSF,**MUST SEE** NEW..VIEWS..MODERN BEDROOMS..FREE WiFi & HOUSE CLEANING,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-must-see-newviewsmodern/7013934755.html,1500,"'furnished', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'no private bath', 'private room'"
2019-11-05 04:45, mill valley,Room for rent,https://sfbay.craigslist.org/nby/roo/d/mill-valley-room-for-rent/7007711336.html,850,"'furnished', 'duplex', 'w/d in unit', 'no smoking', 'off-street parking', 'no private bath', 'private room'"
2019-11-05 04:44, hayward / castro valley,New Furnished Room For Rent Near Chabot And Cal State | 房出租,https://sfbay.craigslist.org/eby/roo/d/hayward-new-furnished-room-for-rent/7013934428.html,600,"'house', 'w/d in unit', 'street parking', 'no private bath', 'room not private'"
2019-11-05 04:43, hayward / castro valley,New Furnished Room For Rent Near Chabot And Cal State | 房出租,https://sfbay.craigslist.org/eby/roo/d/hayward-new-furnished-room-for-rent/7013934133.html,600,"'house', 'w/d in unit', 'street parking', 'no private bath', 'room not private'"
2019-11-05 04:40, hayward / castro valley,$600  CHABOT COLLEGE AND CAL STATE,https://sfbay.craigslist.org/eby/roo/d/hayward-600-chabot-college-and-cal-state/7013933265.html,600,"'house', 'laundry in bldg', 'street parking', 'no private bath', 'private room'"
2019-11-05 04:39, hayward / castro valley,$600  CHABOT COLLEGE AND CAL STATE,https://sfbay.craigslist.org/eby/roo/d/hayward-600-chabot-college-and-cal-state/7013932780.html,600,"'house', 'laundry in bldg', 'street parking', 'no private bath', 'room not private'"
2019-11-05 04:29, brentwood / oakley,Great upscale area close to Hwy 4 Bypass,https://sfbay.craigslist.org/eby/roo/d/brentwood-great-upscale-area-close-to/7009836867.html,900,"'house', 'laundry on site', 'street parking', 'no private bath', 'private room'"
2019-11-05 04:16, 221 7th Street,Fully Furnished and Remodeled Double room for Lease!,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-fully-furnished-and/7013923365.html,900,"'cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'private bath', 'private room'"
2019-11-05 04:05, san jose east,"ROOM – close to public transportations, shopping, restaurants, service",https://sfbay.craigslist.org/sby/roo/d/san-jose-room-close-to-public/7003188551.html,675,"'house', 'w/d in unit', 'off-street parking', 'no private bath', 'private room'"
